persona_name,persona_pressure,value_col,spearman_rho,spearman_p,ols_slope,ols_p,n_capability_levels
build_preserving,0.8,sum_rpr_true,-0.9486832980505139,0.05131670194948613,-36.9108737244898,0.18949917297625413,4
loss_averse,0.6,sum_rpr_true,-0.7999999999999999,0.2000000000000001,-6.6229405824829914,0.11373682984736919,4
loss_averse,0.85,sum_rpr_true,,,0.0,,4
neutral,0.0,sum_rpr_true,-1.0,0.0,-39.324564200680264,0.1801573737151294,4
risk_seeking,0.6,sum_rpr_true,-0.7999999999999999,0.2000000000000001,-18.489450467687078,0.19924121417272203,4
risk_seeking,0.85,sum_rpr_true,-0.9486832980505139,0.05131670194948613,-8.010204081632653,0.23025342128879223,4
