term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],pressure_column
Intercept,3.614133395663171,0.6920554236307039,5.2223178552701475,1.7669732913659485e-07,2.2577296900413817,4.97053710128496,pressure_true
C(persona_name)[T.loss_averse],0.7680668518073125,0.6650205583632218,1.154952041930422,0.24811006612553366,-0.5353494915633193,2.071483195177944,pressure_true
C(persona_name)[T.neutral],-0.23924503689890445,0.731009253674287,-0.32728044918225335,0.7434557782226672,-1.6719968464660113,1.1935067726682023,pressure_true
C(persona_name)[T.risk_seeking],1.786967841715938,0.8548874162269835,2.0902961112735285,0.036591208392001535,0.11141929507454784,3.4625163883573284,pressure_true
pressure_true,0.10187225122346173,0.13544001896093155,0.7521576857785834,0.4519562367677331,-0.16358530800538618,0.3673298104523096,pressure_true
selector_capability,-32.59079196820178,4.441582060422946,-7.3376539090889485,2.1737037037073664e-13,-41.29613284100996,-23.8854510953936,pressure_true
